gen,BASIS_RR,BASIS_D,REB_DUTY,feasible
0,3.37742,11.0004,151076,1
0,1.73763,18.9284,161316,1
0,3.81412,37.068,513203,1
0,4.51481,13.4776,223820,1
0,2.39865,11.1919,122969,1
0,1.48387,30.2142,225892,1
0,0.619412,17.9535,1e+10,0
0,3.42448,31.7977,408285,1
0,1.49198,33.5706,249813,1
0,4.14244,10.26,163872,1
0,4.12619,37.9256,557558,1
0,2.03113,16.2192,153919,1
0,4.80746,23.4638,395978,1
0,0.917356,13.8687,91174.5,1
0,4.31372,34.149,521567,1
0,4.13208,39.1893,576196,1
0,2.91303,48.9246,549281,1
0,2.2034,32.0816,302925,1
0,4.23232,34.7408,522445,1
0,4.37768,33.0941,511872,1
0,3.67057,11.833,170848,1
0,1.52554,21.5755,168749,1
0,0.859064,19.3116,117071,1
0,0.954506,21.1189,132021,1
0,3.36058,24.5933,315337,1
0,2.16581,18.3803,179013,1
0,1.7014,47.4662,373622,1
0,3.41616,34.3652,439053,1
0,1.27012,39.1651,264394,1
0,1.23531,25.1782,173734,1
1,2.39865,11.1919,122969,1
1,0.954506,21.1189,132021,1
1,3.99507,10.4658,162531,1
1,1.885,18.754,167668,1
1,3.02621,11.833,149662,1
1,1.23531,25.4765,175588,1
1,2.16581,18.082,176387,1
1,4.52415,13.4776,224170,1
1,1.47439,30.2142,225096,1
1,1.09399,33.5706,212679,1
1,2.05925,34.2023,308100,1
1,3.52716,24.9916,331732,1
1,1.7014,46.3385,365160,1
1,4.80746,24.5868,414103,1
1,4.37768,33.0941,511872,1
1,3.81412,37.068,513203,1
1,4.31372,34.149,521567,1
1,4.23232,34.7408,522445,1
1,4.13583,37.951,558936,1
1,2.82031,48.8962,536375,1
2,0.917356,13.8687,91174.5,1
2,0.917356,13.8687,91174.5,1
2,1.4154,19.3116,146940,1
2,0.954506,21.1189,132021,1
2,0.954506,21.1189,132021,1
2,3.00822,10.4246,133373,1
2,3.39541,11.85,162010,1
2,3.37268,10.9234,149994,1
2,2.03587,16.2964,154785,1
2,2.03113,16.6163,157266,1
2,3.99642,10.4612,162505,1
2,4.14109,10.2646,163900,1
2,1.53138,18.6651,148614,1
2,1.87916,21.6644,190661,1
2,1.52554,21.5755,168749,1
2,3.67057,11.833,170848,1
2,4.99235,13.5874,243533,1
2,1.40178,30.1045,218267,1
2,1.48387,30.2275,225984,1
2,1.49198,33.5573,249721,1
3,0.917356,13.8687,91174.5,1
3,0.917356,13.8687,91174.5,1
3,0.917356,13.8687,91174.5,1
3,0.917356,13.8687,91174.5,1
3,0.859064,19.3116,117071,1
3,0.859064,19.3116,117071,1
3,0.859064,19.3116,117071,1
3,2.39865,11.1919,122969,1
3,2.39865,11.1919,122969,1
3,2.39865,14.7872,156950,1
3,0.946372,21.1934,131946,1
3,2.40678,11.1197,122538,1
3,0.954506,21.1189,132021,1
3,0.954506,21.1189,132021,1
3,2.97968,21.1189,250876,1
3,0.983048,10.4246,74705,1
3,1.41355,19.2563,146470,1
3,1.53323,18.7205,149100,1
3,1.94187,16.2192,149897,1
3,2.03113,16.2192,153919,1
3,2.03118,16.2964,154573,1
3,2.03581,16.6163,157483,1
4,0.983048,14.0948,94956.1,1
4,0.917356,10.2094,71652,1
4,0.917356,13.8687,91174.5,1
4,0.924078,13.8687,91433.8,1
4,0.917356,13.8687,91174.5,1
4,0.917356,13.8687,91174.5,1
4,0.917356,13.8687,91174.5,1
4,0.917356,13.8687,91174.5,1
4,0.856297,13.8687,88818.4,1
4,0.795648,21.5373,124774,1
4,0.922992,20.2504,125526,1
4,0.859064,19.3116,117071,1
4,0.859064,19.3116,117071,1
4,0.859064,19.3116,117071,1
4,0.859064,19.3116,117071,1
4,2.18839,11.1197,115790,1
4,2.39865,11.1919,122969,1
4,2.64715,12.9126,148149,1
4,2.39865,11.1919,122969,1
4,2.39865,11.1919,122969,1
4,2.39865,11.1919,122969,1
